mlb_game_pk,date_played,away_bats_pi,away_pitch_pi,home_bats_pi,home_pitch_pi,away_bats_pi,away_pitch_pi,home_bats_pi,home_pitch_pi
744958,9/21/2024,0.68300000000000000,0.7049503585622132,0.6819999999999999,0.7711806596299414,0.6830,0.7050,0.6820,0.7712
744959,9/19/2024,0.7130000000000001,0.6309797089762856,0.68500000000000000,0.6664274403756048,0.7130,0.6310,0.6850,0.6664
744960,9/21/2024,0.68300000000000000,0.6593550294424089,0.6819999999999999,0.6949146231465699,0.6830,0.6594,0.6820,0.6949
744961,9/18/2024,0.7110000000000001,0.7115258900923116,0.6819999999999999,0.6814542553739775,0.7110,0.7115,0.6820,0.6815
744962,9/19/2024,0.7130000000000001,0.6944747059978769,0.68500000000000000,0.7110286433691131,0.7130,0.6945,0.6850,0.7110
744963,9/7/2024,0.6759999999999999,0.7135052064204909,0.68700000000000000,0.8271316034625883,0.6760,0.7135,0.6870,0.8271
744964,9/5/2024,0.77700000000000000,0.7468697856174868,0.68500000000000000,0.6694955978123425,0.7770,0.7469,0.6850,0.6695
744965,9/8/2024,0.6739999999999999,0.6816819606386351,0.68500000000000000,0.6958141157792406,0.6740,0.6817,0.6850,0.6958
744966,9/6/2024,0.6779999999999999,0.8053406877162148,0.68700000000000000,0.6282805917574086,0.6780,0.8053,0.6870,0.6283
744967,9/7/2024,0.6759999999999999,0.8092269042447879,0.68700000000000000,0.6132870829118213,0.6760,0.8092,0.6870,0.6133
744968,9/4/2024,0.77800000000000000,0.7448093798861286,0.68500000000000000,0.7052238252748934,0.7780,0.7448,0.6850,0.7052
744969,8/31/2024,0.70400000000000000,0.7396320509373617,0.6839999999999999,0.70001752805722800,0.7040,0.7396,0.6840,0.7000
744970,9/1/2024,0.7050000000000001,0.7508637910261873,0.68300000000000000,0.8003454264842109,0.7050,0.7509,0.6830,0.8003
744971,8/31/2024,0.70400000000000000,0.7285903107931514,0.6839999999999999,0.6251896432510486,0.7040,0.7286,0.6840,0.6252
744972,9/3/2024,0.77800000000000000,0.7532002211653537,0.6839999999999999,0.8533432680545829,0.7780,0.7532,0.6840,0.8533
744973,8/21/2024,0.67500000000000000,0.5484509136113684,0.6910000000000001,0.6996943809341791,0.6750,0.5485,0.6910,0.6997
744974,8/17/2024,0.75600000000000000,0.68622726208518700,0.6910000000000001,0.6962516165535697,0.7560,0.6862,0.6910,0.6963
744975,8/18/2024,0.75400000000000000,0.7100558036811035,0.6890000000000001,0.6315199511238416,0.7540,0.7101,0.6890,0.6315
744976,8/20/2024,0.6759999999999999,0.6696091643542961,0.6910000000000001,0.7396302117527046,0.6760,0.6696,0.6910,0.7396
744977,8/17/2024,0.75600000000000000,0.79069404512609700,0.6910000000000001,0.6810750352120367,0.7560,0.7907,0.6910,0.6811
744978,8/21/2024,0.67500000000000000,0.72615115257229300,0.6910000000000001,0.6463049852757433,0.6750,0.7262,0.6910,0.6463
744979,8/4/2024,0.77300000000000000,0.7175646381401175,0.6930000000000001,0.6602740660900012,0.7730,0.7176,0.6930,0.6603
744980,8/16/2024,0.75700000000000000,0.6728049431056305,0.69200000000000000,0.6140965881123768,0.7570,0.6728,0.6920,0.6141
744981,8/7/2024,0.73200000000000000,0.7306978761261897,0.6910000000000001,0.6975760001507121,0.7320,0.7307,0.6910,0.6976
744982,8/6/2024,0.73300000000000000,0.7321270912720015,0.69200000000000000,0.7023797660937579,0.7330,0.7321,0.6920,0.7024
744983,8/7/2024,0.73200000000000000,0.6890561172606191,0.6910000000000001,0.6976461642378022,0.7320,0.6891,0.6910,0.6976
744984,7/25/2024,0.62600000000000000,0.7466315615903883,0.68800000000000000,0.7109415785294477,0.6260,0.7466,0.6880,0.7109
744985,7/24/2024,0.62700000000000000,0.6340965705978128,0.6890000000000001,0.6969774837562365,0.6270,0.6341,0.6890,0.6970
744986,8/3/2024,0.76700000000000000,0.6961293723722418,0.68800000000000000,0.6700816407666325,0.7670,0.6961,0.6880,0.6701
744987,8/3/2024,0.76700000000000000,0.6308771399244779,0.68800000000000000,0.5548237373618345,0.7670,0.6309,0.6880,0.5548
744988,7/23/2024,0.6259999999999999,0.6632054734227802,0.6890000000000001,0.6883295247912427,0.6260,0.6632,0.6890,0.6883
744989,7/25/2024,0.62600000000000000,0.7458793953698757,0.68800000000000000,0.6614725024077085,0.6260,0.7459,0.6880,0.6615
744990,7/20/2024,0.76700000000000000,0.6374908276587943,0.6950000000000001,0.64439758883650300,0.7670,0.6375,0.6950,0.6444
744991,7/21/2024,0.77200000000000000,0.6916246828159626,0.69000000000000000,0.7029152227127702,0.7720,0.6916,0.6900,0.7029
744992,7/6/2024,0.6859999999999999,0.7071947638135462,0.68700000000000000,0.67888708501634800,0.6860,0.7072,0.6870,0.6789
744993,7/7/2024,0.68300000000000000,0.7556337559215289,0.68800000000000000,0.64609855129049300,0.6830,0.7556,0.6880,0.6461
744994,7/20/2024,0.76700000000000000,0.7059741799624237,0.6950000000000001,0.68616491526800800,0.7670,0.7060,0.6950,0.6862
744995,7/6/2024,0.6859999999999999,0.6957894956186704,0.68700000000000000,0.6918838301453261,0.6860,0.6958,0.6870,0.6919
744996,7/4/2024,0.73000000000000000,0.7103517808525021,0.69000000000000000,0.52537423104619000,0.7300,0.7104,0.6900,0.5254
744997,6/22/2024,0.7070000000000001,0.6747685600621944,0.75700000000000000,0.6813440926920018,0.7070,0.6748,0.7570,0.6813
744998,7/4/2024,0.73000000000000000,0.7956063870853567,0.69000000000000000,0.6803226411420249,0.7300,0.7956,0.6900,0.6803
744999,7/3/2024,0.73700000000000000,0.6661804504432263,0.68500000000000000,0.6734413663591494,0.7370,0.6662,0.6850,0.6734
